q_response_source,kappa_Q_B1_anchored,quality_cost_function,budget_flops,context_length_tokens,source_support_grid_points,feasible_grid_points,source_N_min_B,source_N_max_B,source_D_min_B,source_D_max_B,global_M0_run_id,status,selected_run_id,selected_N_B,selected_D_B,selected_Q,predicted_loss,restricted_M0_run_id,restricted_M0_loss,delta_N_B_vs_restricted_M0,delta_D_B_vs_restricted_M0,delta_Q_vs_Q0,delta_loss_vs_restricted_M0,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,budget_residual_flops,N_D_changed_vs_restricted_M0,at_Q0_boundary
B8_calibrated,-0.8193728391558368,exponential,10000000000000000000000,131072,1128,745,0.07,12.0,5.0,2000.0,834,FEASIBLE,834,2.782831,111.149,0.49847810484764643,2.271590563800825,834,2.271590563800825,0.0,0.0,0.0,0.0,1855853296914000000000,0.0,8.108346777770394e+21,9.964200074684393e+21,0.9964200074684393,3.5799925315606675e+19,False,True
B8_calibrated,-0.8193728391558368,exponential,1000000000000000000000000,131072,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,9.406951343325183e+22,1.1560031637360184e+23,0.11560031637360184,8.843996836263981e+23,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000,2048,1128,10,0.07,12.0,5.0,2000.0,169,FEASIBLE,169,0.162405,8.389,0.49847810484764643,3.030397627156985,169,3.030397627156985,0.0,0.0,0.0,0.0,8174493270000000000,0.0,5.58045407232e+17,8.732538677232e+18,0.8732538677232,1.267461322768e+18,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000000,2048,1128,1012,0.07,12.0,5.0,2000.0,1043,FEASIBLE,1043,6.86104,226.492,0.49847810484764643,2.1456111666541906,1043,2.1456111666541906,0.0,0.0,0.0,0.0,9323824030080000000000,0.0,6.36506387120128e+20,9.96033041720013e+21,0.996033041720013,3.9669582799870886e+19,False,True
B8_calibrated,-0.8193728391558368,power4,1000000000000000000000000,2048,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,1.46983614739456e+21,2.300063908774456e+22,0.02300063908774456,9.769993609122555e+23,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000,4096,1128,9,0.07,12.0,5.0,2000.0,169,FEASIBLE,169,0.162405,8.389,0.49847810484764643,3.030397627156985,169,3.030397627156985,0.0,0.0,0.0,0.0,8174493270000000000,0.0,1.116090814464e+18,9.290584084464e+18,0.9290584084464001,7.09415915535999e+17,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000000,4096,1128,1001,0.07,12.0,5.0,2000.0,1036,FEASIBLE,1036,6.86104,211.812,0.49847810484764643,2.150758613533873,1036,2.150758613533873,0.0,0.0,0.0,0.0,8719503626880000000000,0.0,1.190502895190016e+21,9.910006522070016e+21,0.9910006522070016,8.999347792998354e+19,False,True
B8_calibrated,-0.8193728391558368,power4,1000000000000000000000000,4096,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,2.93967229478912e+21,2.447047523513912e+22,0.02447047523513912,9.755295247648608e+23,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000,8192,1128,7,0.07,12.0,5.0,2000.0,168,FEASIBLE,168,0.162405,6.291,0.49847810484764643,3.0877660039358146,168,3.0877660039358146,0.0,0.0,0.0,0.0,6130139130000000000,0.0,1.673936658432e+18,7.804075788432e+18,0.7804075788432,2.195924211568e+18,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000000,8192,1128,984,0.07,12.0,5.0,2000.0,1025,FEASIBLE,1025,6.86104,188.744,0.49847810484764643,2.159845165552461,1025,2.159845165552461,0.0,0.0,0.0,0.0,7769880802560000000000,0.0,2.121695451152384e+21,9.891576253712383e+21,0.9891576253712383,1.0842374628761718e+20,False,True
B8_calibrated,-0.8193728391558368,power4,1000000000000000000000000,8192,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,5.87934458957824e+21,2.741014752992824e+22,0.02741014752992824,9.725898524700717e+23,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000,32768,1128,3,0.07,12.0,5.0,2000.0,167,FEASIBLE,16,0.070542,10.486,0.49847810484764643,3.204237726070806,16,3.204237726070806,0.0,0.0,0.0,0.0,4438220472000000000,0.0,4.8477202808832e+18,9.2859407528832e+18,0.92859407528832,7.140592471168e+17,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000000,32768,1128,921,0.07,12.0,5.0,2000.0,917,FEASIBLE,917,2.782831,285.213,0.49847810484764643,2.194660077531802,917,2.194660077531802,0.0,0.0,0.0,0.0,4762197468018000000000,0.0,5.201589554400461e+21,9.963787022418462e+21,0.9963787022418462,3.6212977581537886e+19,False,True
B8_calibrated,-0.8193728391558368,power4,1000000000000000000000000,32768,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,2.351737835831296e+22,4.504818129866296e+22,0.04504818129866296,9.54951818701337e+23,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000,131072,1128,0,0.07,12.0,5.0,2000.0,13,INFEASIBLE,,,,,,,,,,,,,,,,,,,
B8_calibrated,-0.8193728391558368,power4,10000000000000000000000,131072,1128,745,0.07,12.0,5.0,2000.0,834,FEASIBLE,834,2.782831,111.149,0.49847810484764643,2.271590563800825,834,2.271590563800825,0.0,0.0,0.0,0.0,1855853296914000000000,0.0,8.108346777770394e+21,9.964200074684393e+21,0.9964200074684393,3.5799925315606675e+19,False,True
B8_calibrated,-0.8193728391558368,power4,1000000000000000000000000,131072,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,9.406951343325183e+22,1.1560031637360184e+23,0.11560031637360184,8.843996836263981e+23,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000,2048,1128,10,0.07,12.0,5.0,2000.0,169,FEASIBLE,169,0.162405,8.389,0.49847810484764643,3.030397627156985,169,3.030397627156985,0.0,0.0,0.0,0.0,8174493270000000000,0.0,5.58045407232e+17,8.732538677232e+18,0.8732538677232,1.267461322768e+18,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000000,2048,1128,1012,0.07,12.0,5.0,2000.0,1043,FEASIBLE,1043,6.86104,226.492,0.49847810484764643,2.1456111666541906,1043,2.1456111666541906,0.0,0.0,0.0,0.0,9323824030080000000000,0.0,6.36506387120128e+20,9.96033041720013e+21,0.996033041720013,3.9669582799870886e+19,False,True
B8_calibrated,-0.8193728391558368,logarithmic,1000000000000000000000000,2048,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,1.46983614739456e+21,2.300063908774456e+22,0.02300063908774456,9.769993609122555e+23,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000,4096,1128,9,0.07,12.0,5.0,2000.0,169,FEASIBLE,169,0.162405,8.389,0.49847810484764643,3.030397627156985,169,3.030397627156985,0.0,0.0,0.0,0.0,8174493270000000000,0.0,1.116090814464e+18,9.290584084464e+18,0.9290584084464001,7.09415915535999e+17,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000000,4096,1128,1001,0.07,12.0,5.0,2000.0,1036,FEASIBLE,1036,6.86104,211.812,0.49847810484764643,2.150758613533873,1036,2.150758613533873,0.0,0.0,0.0,0.0,8719503626880000000000,0.0,1.190502895190016e+21,9.910006522070016e+21,0.9910006522070016,8.999347792998354e+19,False,True
B8_calibrated,-0.8193728391558368,logarithmic,1000000000000000000000000,4096,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,2.93967229478912e+21,2.447047523513912e+22,0.02447047523513912,9.755295247648608e+23,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000,8192,1128,7,0.07,12.0,5.0,2000.0,168,FEASIBLE,168,0.162405,6.291,0.49847810484764643,3.0877660039358146,168,3.0877660039358146,0.0,0.0,0.0,0.0,6130139130000000000,0.0,1.673936658432e+18,7.804075788432e+18,0.7804075788432,2.195924211568e+18,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000000,8192,1128,984,0.07,12.0,5.0,2000.0,1025,FEASIBLE,1025,6.86104,188.744,0.49847810484764643,2.159845165552461,1025,2.159845165552461,0.0,0.0,0.0,0.0,7769880802560000000000,0.0,2.121695451152384e+21,9.891576253712383e+21,0.9891576253712383,1.0842374628761718e+20,False,True
B8_calibrated,-0.8193728391558368,logarithmic,1000000000000000000000000,8192,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,5.87934458957824e+21,2.741014752992824e+22,0.02741014752992824,9.725898524700717e+23,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000,32768,1128,3,0.07,12.0,5.0,2000.0,167,FEASIBLE,16,0.070542,10.486,0.49847810484764643,3.204237726070806,16,3.204237726070806,0.0,0.0,0.0,0.0,4438220472000000000,0.0,4.8477202808832e+18,9.2859407528832e+18,0.92859407528832,7.140592471168e+17,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000000,32768,1128,921,0.07,12.0,5.0,2000.0,917,FEASIBLE,917,2.782831,285.213,0.49847810484764643,2.194660077531802,917,2.194660077531802,0.0,0.0,0.0,0.0,4762197468018000000000,0.0,5.201589554400461e+21,9.963787022418462e+21,0.9963787022418462,3.6212977581537886e+19,False,True
B8_calibrated,-0.8193728391558368,logarithmic,1000000000000000000000000,32768,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,2.351737835831296e+22,4.504818129866296e+22,0.04504818129866296,9.54951818701337e+23,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000,131072,1128,0,0.07,12.0,5.0,2000.0,13,INFEASIBLE,,,,,,,,,,,,,,,,,,,
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000000,131072,1128,745,0.07,12.0,5.0,2000.0,834,FEASIBLE,834,2.782831,111.149,0.49847810484764643,2.271590563800825,834,2.271590563800825,0.0,0.0,0.0,0.0,1855853296914000000000,0.0,8.108346777770394e+21,9.964200074684393e+21,0.9964200074684393,3.5799925315606675e+19,False,True
B8_calibrated,-0.8193728391558368,logarithmic,1000000000000000000000000,131072,1128,1128,0.07,12.0,5.0,2000.0,1232,FEASIBLE,1232,11.965825,299.893,0.49847810484764643,2.093379471491827,1232,2.093379471491827,0.0,0.0,0.0,0.0,21530802940350000000000,0.0,9.406951343325183e+22,1.1560031637360184e+23,0.11560031637360184,8.843996836263981e+23,False,True
