model_name_raw,c8_model_dir,run_id,c1_record_count,c1_record_ids,match_status,version_match_status,strict_version_confirmed,c8_model_revision,c8_model_sha,c2_epoch_publication_date_candidate,c2_epoch_organization_candidate,c2_epoch_open_weights_candidate,Model,parameter_count_B,submission_date_raw,C1_Hub_License_raw,C1_Type_raw,C1_Average_0_100,C1_IFEval_0_100,C1_BBH_0_100,C1_MATH_Lvl5_0_100,C1_GPQA_0_100,C1_MuSR_0_100,C1_MMLU_Pro_0_100,submission_date,open_weights_status,version_unresolved,c8_latest_status,ARC_score_raw,ARC_score_percentile_0_100,ARC_task_count,BBH_score_raw,BBH_score_percentile_0_100,BBH_task_count,GPQA_score_raw,GPQA_score_percentile_0_100,GPQA_task_count,IFEval_score_raw,IFEval_score_percentile_0_100,IFEval_task_count,MATH-Hard_score_raw,MATH-Hard_score_percentile_0_100,MATH-Hard_task_count,MMLU-Pro_score_raw,MMLU-Pro_score_percentile_0_100,MMLU-Pro_task_count,MuSR_score_raw,MuSR_score_percentile_0_100,MuSR_task_count,core6_family_count,core6_index_0_100,full7_index_0_100,core6_rawmean_index_0_100,core6_leaf_task_count,core6_all_task_index_0_100,core6_all_task_rawmean_0_100,ARC_complete,BBH_complete,GPQA_complete,IFEval_complete,MATH-Hard_complete,MMLU-Pro_complete,MuSR_complete,main_cohort_complete_core6,main_cohort_complete_full7,index_scale,cohort_status,core6_if_eval_prompt_level_strict_acc_0_100,core6_if_eval_inst_level_loose_acc_0_100,core6_if_eval_prompt_level_loose_acc_0_100,core6_math_v10_0_100,core6_math_v30_0_100,family_ARC_percentile_0_100,family_BBH_percentile_0_100,family_GPQA_percentile_0_100,family_IFEval_percentile_0_100,family_MATH_Hard_percentile_0_100,family_MMLU_Pro_percentile_0_100,family_MuSR_percentile_0_100,family_ARC_rawmean_0_100,family_BBH_rawmean_0_100,family_GPQA_rawmean_0_100,family_IFEval_rawmean_0_100,family_MATH_Hard_rawmean_0_100,family_MMLU_Pro_rawmean_0_100,family_MuSR_rawmean_0_100
0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,72ff3547408ef55775d80e9a1a718e16c9d756293d91db6e1daa49be541e416e,1,[2],exact_model_id_unique_record,source_version_missing,False,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,,,,0-hero/Matter-0.2-7B-DPO,7.242,2024-08-05,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.90636130175029,33.02792147058693,10.055525080241036,1.4350453172205435,1.230425055928408,5.871874999999999,1.8173758865248215,2024-08-05,unknown,True,latest_parseable,,,0,0.3596254301656297,24.492624152464725,24,0.26033283845783844,20.54178145087236,3,0.3980815347721823,35.06887052341598,1,,,0,0.1163563829787234,7.190082644628099,1,0.381375,40.51423324150597,3,5,,,,32,,,False,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,25.14924735950677,,,24.492624152464725,20.54178145087236,35.06887052341598,,7.190082644628099,40.51423324150597,,35.96254301656297,26.033283845783846,39.80815347721823,,11.63563829787234,38.1375
01-ai/Yi-1.5-34B,01-ai_Yi-1.5-34B,047e17ae3b360b66af0856e604c6b63aba453f23755c81e72efbcb47d53df87b,1,[3],exact_model_id_unique_record,source_version_missing,False,4b486f81c935a2dadde84c6baa1e1370d40a098f,4b486f81c935a2dadde84c6baa1e1370d40a098f,2024-05-13,01.AI,Yes,01-ai/Yi-1.5-34B,34.389,2024-06-12,apache-2.0,🟢 pretrained,25.64649419429311,28.411725333226947,42.74936268839652,15.332326283987916,15.436241610738255,11.217187500000003,40.732121749408975,2024-06-12,Yes,True,latest_parseable,0.6723549488054608,87.95180722891565,1,0.5976391706360017,73.75962067069818,24,0.37405360842860835,92.86501377410468,3,0.3501199040767386,30.0,1,,,0,0.4665890957446808,87.05234159779614,1,0.4236041666666667,65.17906336088154,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,72.2296147255736,,87.95180722891565,73.75962067069818,92.86501377410468,30.0,,87.05234159779614,65.17906336088154,67.23549488054607,59.76391706360017,37.40536084286084,35.011990407673856,,46.65890957446808,42.36041666666667
01-ai/Yi-1.5-34B-32K,01-ai_Yi-1.5-34B-32K,8defa6f3e550b9d570842f0774a6c52796007d9b1460e1a9643564fa24dcbbbf,1,[4],exact_model_id_unique_record,source_version_missing,False,2c03a29761e4174f20347a60fbe229be4383d48b,2c03a29761e4174f20347a60fbe229be4383d48b,2024-05-13,01.AI,Yes,01-ai/Yi-1.5-34B-32K,34.389,2024-06-12,apache-2.0,🟢 pretrained,26.72791290850813,31.186917379220468,43.38184666762572,15.40785498489426,15.100671140939594,14.07786458333333,41.21232269503546,2024-06-12,Yes,True,latest_parseable,0.6629692832764505,84.33734939759037,1,0.6015685776542417,76.56679494227598,24,0.3734332796832797,92.35078053259872,3,0.3705035971223021,32.5068870523416,1,,,0,0.4709109042553192,87.35537190082646,1,0.4398229166666667,73.9485766758494,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,74.50062577252234,,84.33734939759037,76.56679494227598,92.35078053259872,32.5068870523416,,87.35537190082646,73.9485766758494,66.29692832764505,60.156857765424164,37.34332796832797,37.050359712230204,,47.09109042553192,43.98229166666667
01-ai/Yi-1.5-34B-Chat,01-ai_Yi-1.5-34B-Chat,8c3005faaccdffadd79a6f30f38facf675871e7f0e11a2f6d17d766b177dfe83,1,[5],exact_model_id_unique_record,source_version_missing,False,f3128b2d02d82989daae566c0a7eadc621ca3254,f3128b2d02d82989daae566c0a7eadc621ca3254,2024-05-13,01.AI,Yes,01-ai/Yi-1.5-34B-Chat,34.389,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",33.35799367075618,60.66758423205982,44.262825981005655,27.7190332326284,15.324384787472036,13.058072916666664,39.11606087470449,2024-06-12,Yes,True,latest_parseable,0.6757679180887372,90.36144578313254,1,0.6083748310271819,80.32687374015028,24,0.3661991943241943,92.36914600550965,3,0.6606714628297362,71.12947658402203,1,,,0,0.4520445478723404,85.34435261707989,1,0.4281979166666667,70.89990817263545,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,82.47208768514024,,90.36144578313254,80.32687374015028,92.36914600550965,71.12947658402203,,85.34435261707989,70.89990817263545,67.57679180887372,60.837483102718195,36.61991943241943,66.06714628297362,,45.20445478723404,42.81979166666667
01-ai/Yi-1.5-34B-Chat-16K,01-ai_Yi-1.5-34B-Chat-16K,a065c61250880e54cb412b62328d79e42f22053b4be76b71017c4af400991a96,1,[6],exact_model_id_unique_record,source_version_missing,False,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,2024-05-13,01.AI,Yes,01-ai/Yi-1.5-34B-Chat-16K,34.389,2024-07-15,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",29.403554842710225,45.6449997118756,44.53615654671034,21.37462235649547,11.74496644295302,13.73671875,39.38386524822696,2024-07-15,Yes,True,latest_parseable,,,0,0.6100218256499572,79.91226864577607,24,0.3469395188145188,85.34435261707989,3,0.5191846522781774,51.76308539944904,1,,,0,0.4544547872340425,85.73002754820936,1,0.43976041666666665,70.68870523415978,3,5,,,,32,,,False,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,76.55354165318936,,,79.91226864577607,85.34435261707989,51.76308539944904,,85.73002754820936,70.68870523415978,,61.00218256499572,34.69395188145188,51.91846522781775,,45.44547872340425,43.97604166666667
01-ai/Yi-1.5-6B,01-ai_Yi-1.5-6B,b3a0db3f32fb2f255c691ec46ae00aa3516bee21262ded4e8ae2d5e464c0ee22,1,[7],exact_model_id_unique_record,source_version_missing,False,cab51fce425b4c1fb19fccfdd96bd5d0908c1657,cab51fce425b4c1fb19fccfdd96bd5d0908c1657,,,,01-ai/Yi-1.5-6B,6.061,2024-08-10,apache-2.0,🟢 pretrained,16.745698054972127,26.166017278598567,22.027904536694773,6.646525679758309,8.501118568232664,13.309114583333336,23.823507683215126,2024-08-10,unknown,True,latest_parseable,0.5699658703071673,41.566265060240966,1,0.4488346218753918,40.735523181235116,24,0.30804149554149546,64.01285583103765,3,0.302158273381295,20.19283746556474,1,,,0,0.3100897606382978,41.98347107438016,1,0.43873958333333335,65.2892561983471,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,47.21282434733075,,41.566265060240966,40.735523181235116,64.01285583103765,20.19283746556474,,41.98347107438016,65.2892561983471,56.996587030716725,44.88346218753918,30.804149554149546,30.215827338129497,,31.00897606382978,43.873958333333334
01-ai/Yi-1.5-6B-Chat,01-ai_Yi-1.5-6B-Chat,a813c731b2a9acd393a9f6386b274fc72fe894755ba6892b1538cb19c64d66aa,1,[8],exact_model_id_unique_record,source_version_missing,False,3f64d3f159c6ad8494227bb77e2a7baef8cd808b,3f64d3f159c6ad8494227bb77e2a7baef8cd808b,,,,01-ai/Yi-1.5-6B-Chat,6.061,2024-10-22,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",22.784006289829847,51.45270105542184,23.67872313235784,16.238670694864048,6.935123042505594,14.030468750000002,24.368351063829788,2024-10-22,unknown,True,latest_parseable,0.5921501706484642,55.42168674698795,1,0.4554861043778055,43.34112149532711,24,0.3202173983423983,71.47842056932966,3,0.5371702637889688,53.80165289256198,1,,,0,0.3197307180851064,45.09641873278237,1,0.44323958333333335,58.71441689623507,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,58.26291340295191,,55.42168674698795,43.34112149532711,71.47842056932966,53.80165289256198,,45.09641873278237,58.71441689623507,59.21501706484642,45.54861043778055,32.02173983423983,53.71702637889688,,31.97307180851064,44.32395833333334
01-ai/Yi-1.5-9B,01-ai_Yi-1.5-9B,e809de3808db7ed061d8af6453f14c883b58b67914be35a6c2313543c495dabb,1,[9],exact_model_id_unique_record,source_version_missing,False,8cfde9604384c50137bee480b8cef8a08e5ae81d,8cfde9604384c50137bee480b8cef8a08e5ae81d,2024-05-13,01.AI,Yes,01-ai/Yi-1.5-9B,8.829,2024-06-12,apache-2.0,🟢 pretrained,22.153901514184795,29.35843561749492,30.50071699492122,11.404833836858003,17.225950782997764,12.030989583333332,32.402482269503544,2024-06-12,Yes,True,latest_parseable,0.6151877133105802,70.48192771084338,1,0.514294179104191,54.680914421843504,24,0.3883760915010915,95.63820018365475,3,0.356115107913669,30.798898071625345,1,,,0,0.3916223404255319,73.38842975206612,1,0.43278124999999995,63.728191000918265,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,64.86176567020684,,70.48192771084338,54.680914421843504,95.63820018365475,30.798898071625345,,73.38842975206612,63.728191000918265,61.51877133105802,51.4294179104191,38.837609150109145,35.611510791366904,,39.16223404255319,43.278124999999996
01-ai/Yi-1.5-9B-32K,01-ai_Yi-1.5-9B-32K,7d8033a0ca16688a146cbdb2fb4e11d975bba0ff43a711b3e45ecb79941d9d73,1,[10],exact_model_id_unique_record,source_version_missing,False,116561dfae63af90f9d163b43077629e0e916bb1,116561dfae63af90f9d163b43077629e0e916bb1,2024-05-13,01.AI,Yes,01-ai/Yi-1.5-9B-32K,8.829,2024-06-12,apache-2.0,🟢 pretrained,19.809786285875365,23.031113002389212,28.937011582169664,10.80060422960725,14.5413870246085,10.82682291666667,30.72177895981088,2024-06-12,Yes,True,latest_parseable,0.6109215017064846,64.45783132530121,1,0.496332115988265,50.63565145684442,24,0.3688978845228845,91.12029384756657,3,0.2757793764988009,13.69146005509642,1,,,0,0.3764960106382978,66.00550964187329,1,0.4186145833333333,64.06795224977043,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,58.290294053568836,,64.45783132530121,50.63565145684442,91.12029384756657,13.69146005509642,,66.00550964187329,64.06795224977043,61.092150170648466,49.6332115988265,36.88978845228845,27.57793764988009,,37.64960106382978,41.86145833333333
01-ai/Yi-1.5-9B-Chat,01-ai_Yi-1.5-9B-Chat,4e53741a247d7c79b69a8d3659398884a7aba749fe2ddd15977e3928fe022e46,1,[11],exact_model_id_unique_record,source_version_missing,False,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,2024-05-13,01.AI,Yes,01-ai/Yi-1.5-9B-Chat,8.829,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",29.530872220260974,60.455258713546726,36.95293138417893,22.58308157099698,11.297539149888143,12.838281249999996,33.05814125295508,2024-06-12,Yes,True,latest_parseable,0.6126279863481229,66.86746987951807,1,0.555906430281685,68.58163826278175,24,0.3348405067155067,80.41322314049587,3,0.658273381294964,70.85399449035813,1,,,0,0.3975232712765957,74.84848484848486,1,0.42590625,66.39118457300275,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,71.56548449314799,,66.86746987951807,68.58163826278175,80.41322314049587,70.85399449035813,,74.84848484848486,66.39118457300275,61.262798634812285,55.59064302816849,33.48405067155067,65.82733812949641,,39.75232712765957,42.590624999999996
01-ai/Yi-1.5-9B-Chat-16K,01-ai_Yi-1.5-9B-Chat-16K,ada5d6b38f346476aa74d2f9075c03a253b659af28132eb9b1bb887b92b57728,1,[12],exact_model_id_unique_record,source_version_missing,False,2b397e5f0fab87984efa66856c5c4ed4bbe68b50,2b397e5f0fab87984efa66856c5c4ed4bbe68b50,2024-05-13,01.AI,Yes,01-ai/Yi-1.5-9B-Chat-16K,8.829,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",23.76539234993476,42.14040966856828,31.49760894701832,17.82477341389728,7.829977628635347,10.03828125,33.261303191489354,2024-06-12,Yes,True,latest_parseable,0.6083617747440273,62.048192771084345,1,0.5153383364651778,50.464999083745646,24,0.3128387815887816,66.4279155188246,3,0.4916067146282973,46.942148760330575,1,,,0,0.3993517287234042,75.37190082644628,1,0.40990624999999997,56.42791551882461,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,63.020211348821114,,62.048192771084345,50.464999083745646,66.4279155188246,46.942148760330575,,75.37190082644628,56.42791551882461,60.83617747440273,51.53383364651778,31.28387815887816,49.16067146282973,,39.93517287234042,40.990624999999994
01-ai/Yi-34B,01-ai_Yi-34B,03b64c2ba5b629dd50e68c2da994a7991f3ed85b1617d4f152b9b2fb6f579c62,1,[13],exact_model_id_unique_record,source_version_missing,False,e1e7da8c75cfd5c44522228599fd4d2990cedd1c,e1e7da8c75cfd5c44522228599fd4d2990cedd1c,2023-11-02,01.AI,Yes,01-ai/Yi-34B,34.389,2024-06-12,apache-2.0,🟢 pretrained,22.373127018936653,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855,2024-06-12,Yes,True,latest_parseable,0.6459044368600683,78.91566265060241,1,0.5457099951794562,61.38675096206706,24,0.36527419339919337,91.58861340679522,3,0.3633093525179856,31.46005509641873,1,,,0,0.441156914893617,83.63636363636363,1,0.4118541666666667,60.54178145087236,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,62.847313044639954,,78.91566265060241,61.38675096206706,91.58861340679522,31.46005509641873,,83.63636363636363,60.54178145087236,64.59044368600682,54.570999517945616,36.527419339919334,36.33093525179856,,44.1156914893617,41.18541666666667
01-ai/Yi-34B-200K,01-ai_Yi-34B-200K,957c2bcf0ce9b0887a3544a1f8885e6fcdeaf8c9fb073e372e0875932eb0db5a,1,[14],exact_model_id_unique_record,source_version_missing,False,8ac1a1ebe011df28b78ccd08012aeb2222443c77,8ac1a1ebe011df28b78ccd08012aeb2222443c77,2023-11-02,01.AI,Yes,01-ai/Yi-34B-200K,34.389,2024-06-12,apache-2.0,🟢 pretrained,20.01347533597433,15.424850507763844,36.02211028900003,5.740181268882175,14.205816554809845,9.414843749999998,39.27304964539008,2024-06-12,Yes,True,latest_parseable,0.6663822525597269,85.54216867469879,1,0.5441817925289528,64.42413413963716,24,0.3499029905279905,85.14233241505968,3,0.184652278177458,4.18732782369146,1,,,0,0.4534574468085106,85.48209366391185,1,0.38171874999999994,52.304866850321396,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,57.104947352037044,,85.54216867469879,64.42413413963716,85.14233241505968,4.18732782369146,,85.48209366391185,52.304866850321396,66.6382252559727,54.418179252895285,34.99029905279905,18.4652278177458,,45.345744680851055,38.17187499999999
01-ai/Yi-34B-Chat,01-ai_Yi-34B-Chat,a63dde576a8a57c2ace74af3a1e04e3b9c26e6cc87a338769acc67fd11bdba1a,1,[15],exact_model_id_unique_record,source_version_missing,False,2e528b6a80fb064a0a746c5ca43114b135e30464,2e528b6a80fb064a0a746c5ca43114b135e30464,2023-11-02,01.AI,Yes,01-ai/Yi-34B-Chat,34.389,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",24.226662652803373,46.98887839820566,37.623987597243485,6.268882175226587,11.74496644295302,8.363802083333338,34.369459219858165,2024-06-12,Yes,True,latest_parseable,0.6160409556313993,72.28915662650603,1,0.5560872910766165,67.87612241158145,24,0.33580886705886703,79.94490358126721,3,0.5275779376498801,52.53443526170799,1,,,0,0.4093251329787234,76.2534435261708,1,0.39784375,55.0872359963269,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,,62.307752786150665,72.28915662650603,67.87612241158145,79.94490358126721,52.53443526170799,,76.2534435261708,55.0872359963269,61.60409556313993,55.608729107661645,33.580886705886705,52.757793764988016,,40.93251329787234,39.784375
01-ai/Yi-6B,01-ai_Yi-6B,84b5a02da7f0a156de3fd5bfa06cf88696c2825145b261d8648871011ec80995,1,[16],exact_model_id_unique_record,source_version_missing,False,7f7fb7662fd8ec09029364f408053c954986c8e5,7f7fb7662fd8ec09029364f408053c954986c8e5,,,,01-ai/Yi-6B,6.061,2024-06-12,apache-2.0,🟢 pretrained,13.611617485376058,28.93378458046871,19.408504737915056,1.5861027190332326,2.572706935123044,7.044270833333335,22.12433510638298,2024-06-12,unknown,True,latest_parseable,0.5435153583617748,36.144578313253014,1,0.43092305910008655,40.93595382078065,24,0.26913248788248784,27.823691460055098,3,0.3513189448441247,30.220385674931126,1,,,0,0.2991190159574468,38.62258953168044,1,0.39368749999999997,48.44811753902663,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,37.02349393173062,,36.144578313253014,40.93595382078065,27.823691460055098,30.220385674931126,,38.62258953168044,48.44811753902663,54.351535836177476,43.092305910008655,26.913248788248783,35.13189448441247,,29.911901595744677,39.36875
01-ai/Yi-6B-200K,01-ai_Yi-6B-200K,3622d3e4318a0632a9f836215f3bb209c6c0a1c784f9dd5daf61b9b0a6592672,1,[17],exact_model_id_unique_record,source_version_missing,False,4a74338e778a599f313e9fa8f5bc08c717604420,4a74338e778a599f313e9fa8f5bc08c717604420,,,,01-ai/Yi-6B-200K,6.061,2024-06-12,apache-2.0,🟢 pretrained,11.99609829883284,8.433068702154728,20.148020103768047,1.812688821752266,4.250559284116329,16.842447916666668,20.489804964539008,2024-06-12,unknown,True,latest_parseable,0.537542662116041,33.13253012048193,1,0.42892948109603307,36.32146783947224,24,0.2707789895289895,36.17998163452709,3,0.0947242206235011,1.487603305785124,1,,,0,0.2844082446808511,35.81267217630854,1,0.45873958333333337,74.06795224977043,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,35.577536296906715,,33.13253012048193,36.32146783947224,36.17998163452709,1.487603305785124,,35.81267217630854,74.06795224977043,53.7542662116041,42.89294810960331,27.07789895289895,9.472422062350109,,28.440824468085108,45.873958333333334
01-ai/Yi-6B-Chat,01-ai_Yi-6B-Chat,0947d05abeabeecaf0abe74c3aa628672a178a0db02c775b18a77c7a7a61bb72,1,[18],exact_model_id_unique_record,source_version_missing,False,01f7fabb6cfb26efeb764da4a0a19cad2c754232,01f7fabb6cfb26efeb764da4a0a19cad2c754232,,,,01-ai/Yi-6B-Chat,6.061,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",14.11765000523676,33.95213588833185,17.00016656742376,1.3595166163141994,5.92841163310962,3.5656250000000003,22.90004432624113,2024-06-12,unknown,True,latest_parseable,0.537542662116041,33.13253012048193,1,0.41326019207548687,34.83828110683526,24,0.29401905964405955,54.52708907254362,3,0.3980815347721823,35.06887052341598,1,,,0,0.3061003989361702,40.99173553719008,1,0.36879166666666663,31.386593204775025,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,35.8744309199049,,33.13253012048193,34.83828110683526,54.52708907254362,35.06887052341598,,40.99173553719008,31.386593204775025,53.7542662116041,41.32601920754869,29.401905964405955,39.80815347721823,,30.61003989361702,36.87916666666666
01-ai/Yi-9B,01-ai_Yi-9B,b023cf7c2ee7c7e7ca21c4fe5d709356c7e488700418f68c0abfb6ccb37cb7b3,1,[19],exact_model_id_unique_record,source_version_missing,False,b4a466d95091696285409f1dcca3028543cb39da,b4a466d95091696285409f1dcca3028543cb39da,,,,01-ai/Yi-9B,8.829,2024-06-12,apache-2.0,🟢 pretrained,17.811867367746064,27.08779372066118,27.62695611207793,5.589123867069486,9.060402684563762,8.909114583333334,28.59781323877068,2024-06-12,unknown,True,latest_parseable,0.60580204778157,59.036144578313255,1,0.49396075125308075,47.870853949056254,24,0.3124439218189217,67.41046831955923,3,0.3273381294964029,27.493112947658403,1,,,0,0.3573803191489361,56.005509641873275,1,0.40540624999999997,58.03489439853076,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,50.80091759627547,,59.036144578313255,47.870853949056254,67.41046831955923,27.493112947658403,,56.005509641873275,58.03489439853076,60.580204778157,49.39607512530807,31.244392181892174,32.73381294964029,,35.73803191489361,40.540625
01-ai/Yi-9B-200K,01-ai_Yi-9B-200K,8c8c00e11ec1b7aa37be07a26391b1af0d805808b407e914b5e5fe762e041f85,1,[20],exact_model_id_unique_record,source_version_missing,False,8c93accd5589dbb74ee938e103613508c4a9b88d,8c93accd5589dbb74ee938e103613508c4a9b88d,,,,01-ai/Yi-9B-200K,8.829,2024-06-12,apache-2.0,🟢 pretrained,17.72955178611439,23.270921155866432,26.49249509714754,6.646525679758309,8.7248322147651,12.109114583333332,29.1334219858156,2024-06-12,unknown,True,latest_parseable,0.575938566552901,45.18072289156627,1,0.4793302602023641,44.01342312625985,24,0.3134215321715321,67.61248852157944,3,0.2805755395683453,14.352617079889807,1,,,0,0.3622007978723404,58.51239669421487,1,0.42940625,62.21303948576676,3,5,,,,32,,,True,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,49.86333042299888,,45.18072289156627,44.01342312625985,67.61248852157944,14.352617079889807,,58.51239669421487,62.21303948576676,57.5938566552901,47.933026020236404,31.34215321715321,28.05755395683453,,36.22007978723404,42.940625
01-ai/Yi-Coder-9B-Chat,01-ai_Yi-Coder-9B-Chat,30c6fb03b002270356cdfd71b045f4e6826dc9802e8fd78d1666c406f4ebbeab,1,[21],exact_model_id_unique_record,source_version_missing,False,356a1f8d4e4a606d0b879e54191ca809918576b8,356a1f8d4e4a606d0b879e54191ca809918576b8,,,,01-ai/Yi-Coder-9B-Chat,8.829,2024-09-12,apache-2.0,🔶 fine-tuned on domain-specific datasets,16.985989314863886,48.17041006750976,25.94315294491389,4.003021148036254,0.0,7.963802083333333,15.83554964539007,2024-09-12,unknown,True,latest_parseable,,,0,0.48142000339111674,47.53069452079898,24,0.23690198690198686,8.852157943067034,3,0.5419664268585132,54.3801652892562,1,,,0,0.2425199468085106,28.402203856749313,1,0.3991770833333333,48.25528007346188,3,5,,,,32,,,False,True,True,True,False,True,True,False,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,,,,38.55893505283108,,,47.53069452079898,8.852157943067034,54.3801652892562,,28.402203856749313,48.25528007346188,,48.142000339111675,23.690198690198685,54.196642685851316,,24.25199468085106,39.91770833333333
1-800-LLMs/Qwen-2.5-14B-Hindi,1-800-LLMs_Qwen-2.5-14B-Hindi,9b6ea9b57166d58ecf4d3d6a91d8fd32bc5d7b75c0c43046bf3bc445a0ffef2b,1,[22],exact_model_id_unique_record,source_version_missing,False,554e931a1b7e72689bdf044f8507e319e4b722e7,554e931a1b7e72689bdf044f8507e319e4b722e7,,,,1-800-LLMs/Qwen-2.5-14B-Hindi,14.77,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,36.2661770066689,58.2570911847232,49.32988995210337,33.30815709969788,14.988814317673372,14.350520833333334,47.362588652482266,2025-02-06,unknown,True,latest_parseable,,,0,0.65239015319562,85.83814366868243,24,0.36893604081104076,91.24885215794306,3,0.6438848920863309,68.92561983471074,1,0.2330455506341642,78.13688212927757,7,0.5262632978723404,92.5068870523416,1,0.4489375,66.6574839302112,3,6,80.55231146219442,,47.890957243324934,39,83.13397790012401,53.62167011160468,False,True,True,True,True,True,True,True,False,task-wise percentile 0-100 within exact-name candidate cohort; equal leaf-task weights within family; equal family weights,provisional_exact_name_unique_C1_row; version_unresolved,80.45589272941207,80.91043818395751,80.84156766054154,,,,85.83814366868243,91.24885215794306,68.92561983471074,78.13688212927757,92.5068870523416,66.6574839302112,,65.239015319562,36.89360408110407,64.38848920863309,23.304555063416423,52.62632978723404,44.89375
