source,g_function,budget_flops,context_length_tokens,feasible_frequency,top_configuration_frequency,top_run_id,Q_median,Q_p025,Q_p975,Loss_median
B8_calibrated,exponential,10000000000000000000000,4096,1.0,1.0,1036,0.4984781048,0.4984781048,0.4984781048,2.1507592853852255
B8_calibrated,exponential,1000000000000000000000000,4096,1.0,1.0,1232,0.4984781048,0.4984781048,0.4984781048,2.093381418520118
B8_calibrated,exponential,10000000000000000000,8192,1.0,1.0,168,0.4984781048,0.4984781048,0.4984781048,3.087771422743491
B8_calibrated,exponential,10000000000000000000000,8192,1.0,1.0,1025,0.4984781048,0.4984781048,0.4984781048,2.1598456208627974
B8_calibrated,exponential,1000000000000000000000000,8192,1.0,1.0,1232,0.4984781048,0.4984781048,0.4984781048,2.093381418520118
B8_calibrated,exponential,10000000000000000000,32768,1.0,1.0,16,0.4984781048,0.4984781048,0.4984781048,3.204236586463381
B8_calibrated,exponential,10000000000000000000000,32768,1.0,1.0,917,0.4984781048,0.4984781048,0.4984781048,2.1946594748967327
B8_calibrated,exponential,1000000000000000000000000,32768,1.0,1.0,1232,0.4984781048,0.4984781048,0.4984781048,2.093381418520118
B8_calibrated,exponential,10000000000000000000,131072,0.0,0.0,,nan,nan,nan,nan
B8_calibrated,exponential,10000000000000000000000,131072,1.0,1.0,834,0.4984781048,0.4984781048,0.4984781048,2.2715887784354756
B8_calibrated,exponential,1000000000000000000000000,131072,1.0,1.0,1232,0.4984781048,0.4984781048,0.4984781048,2.093381418520118
B8_calibrated,power,10000000000000000000,2048,1.0,1.0,169,0.4984781048,0.4984781048,0.4984781048,3.030402686234158
B8_calibrated,power,10000000000000000000000,2048,1.0,1.0,1043,0.4984781048,0.4984781048,0.4984781048,2.1456120024650245
B8_calibrated,power,1000000000000000000000000,2048,1.0,1.0,1232,0.4984781048,0.4984781048,0.4984781048,2.093381418520118
B8_calibrated,power,10000000000000000000,4096,1.0,1.0,169,0.4984781048,0.4984781048,0.4984781048,3.030402686234158
B8_calibrated,power,10000000000000000000000,4096,1.0,1.0,1036,0.4984781048,0.4984781048,0.4984781048,2.1507592853852255
B8_calibrated,power,1000000000000000000000000,4096,1.0,1.0,1232,0.4984781048,0.4984781048,0.4984781048,2.093381418520118
B8_calibrated,power,10000000000000000000,8192,1.0,1.0,168,0.4984781048,0.4984781048,0.4984781048,3.087771422743491
B8_calibrated,power,10000000000000000000000,8192,1.0,1.0,1025,0.4984781048,0.4984781048,0.4984781048,2.1598456208627974
B8_calibrated,power,1000000000000000000000000,8192,1.0,1.0,1232,0.4984781048,0.4984781048,0.4984781048,2.093381418520118
B8_calibrated,power,10000000000000000000,32768,1.0,1.0,16,0.4984781048,0.4984781048,0.4984781048,3.204236586463381
B8_calibrated,power,10000000000000000000000,32768,1.0,1.0,917,0.4984781048,0.4984781048,0.4984781048,2.1946594748967327
